Strategy,Security Type,Clearing Broker,Sid,Ticker,Security Description,Start Price [N],End Price [N],End Quantity,Quantity Change,Start OTE,End OTE,Realized P&L,Total P&L,End Market Value,Manager,Legal Entity
CORE,Loan Tranche,BKDEBT,820002109,DSPORT LOAN,Diamond Sports Group 2L Secd USD 0mm 08/24/26 25277BAG3,3.161,3.161,"55,646,827.73",0.,"-17,255,242.3687","-17,255,242.3687",0.,0.,"1,758,996.2245",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002141,DBD LOAN,Diebold 1L Sr. Secd USD 0mm 07/15/25 25365TAF9,34.,34.,"94,906,564.5",0.,"-13,871,310.5663","-13,871,310.5663",0.,0.,"32,268,231.93",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002143,CNR LOAN,Cornerstone Building Brands 1L Gtd Sr. Secd USD 0mm 04/12/28 72431HAD2,97.2625,97.2625,"14,923,664.14",0.,"573,939.25","573,939.25",0.,0.,"14,515,128.8342",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002174,DAWACQ LOAN,AT&T Colocation 1L Gtd Sr. Secd USD 0mm 12/31/25 23923HAB4,73.833,73.833,"30,845,034.67",0.,"4,140,310.0424","4,140,310.0424",0.,0.,"22,773,814.4479",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002184,DBD LOAN,Diebold 1L Sr. Secd USD 0mm 07/15/23 Stub,12.5,12.5,"3,950,360.9",0.,"306,152.9698","306,152.9698",0.,0.,"493,795.1125",Courtney Carson,
DISTRESSED/NP_HPMF,Loan Tranche,BKDEBT,820001953,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLFO 07/31/25 07783AAJ4,81.375,81.375,"13,516,005.47",0.,"5,652,112.3363","5,652,112.3363",0.,0.,"10,998,649.4512",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_JSCC,Loan Tranche,BKDEBT,820001953,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLFO 07/31/25 07783AAJ4,81.375,81.375,"7,340,722.54",0.,"3,069,833.8843","3,069,833.8843",0.,0.,"5,973,512.9669",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_TG,Loan Tranche,BKDEBT,820001953,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLFO 07/31/25 07783AAJ4,81.375,81.375,"2,317,414.25",0.,"969,105.1469","969,105.1469",0.,0.,"1,885,795.8459",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP,Loan Tranche,BKDEBT,820001953,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLFO 07/31/25 07783AAJ4,81.375,81.375,"21,500,779.03",0.,"2,401,480.8205","2,401,480.8205",0.,0.,"17,496,258.9357",Courtney Carson,
DISTRESSED/NP,Loan Tranche,BKDEBT,820001954,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLSO 07/31/25 07783AAK1,13.2,13.2,"67,945,662.34",0.,"-21,478,719.6437","-21,478,719.6437",0.,0.,"8,968,827.4289",Courtney Carson,
DISTRESSED/NP_JSCC,Loan Tranche,BKDEBT,820001954,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLSO 07/31/25 07783AAK1,13.2,13.2,"30,897,860.27",0.,"-10,302,147.7732","-10,302,147.7732",0.,0.,"4,078,517.5556",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_HPMF,Loan Tranche,BKDEBT,820001954,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLSO 07/31/25 07783AAK1,13.2,13.2,"56,892,014.18",0.,"-18,969,671.4818","-18,969,671.4818",0.,0.,"7,509,745.8718",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_TG,Loan Tranche,BKDEBT,820001954,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLSO 07/31/25 07783AAK1,13.2,13.2,"9,754,430.96",0.,"-3,252,452.683","-3,252,452.683",0.,0.,"1,287,584.8867",Courtney Carson,HPT Opportunity LP
CORE,Loan Tranche,BKDEBT,820002120,TGPHLD LOAN,Traeger Grills 1L Gtd Sr. Secd USD 0mm 06/29/28 87251RAK9,84.4115,84.4115,"10,283,245.05",0.,"356,663.4631","356,663.4631",0.,0.,"8,680,241.3954",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002134,WEBSTP LOAN,Weber-Stephen Products 1L Gtd Sr. Secd USD 0mm 10/30/27 94767KAN1,89.857,89.857,"55,928,737.05",0.,"1,297,201.4298","1,297,201.4298",0.,0.,"50,255,885.251",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002163,CITFBL LOAN,City Football Group 1L Sr. Secd USD 0mm 07/21/28 17781XAB2,98.3335,98.3335,"45,150,407.68",0.,"405,800.1651","405,800.1651",0.,0.,"44,397,976.136",Courtney Carson,
TEST,Loan Tranche,BKDEBT,820002003,ADNT LOAN,Adient 1L Gtd Sr. Secd USD 0mm 05/06/24 00687MAB7,100.,100.,"943,181.82",0.,0.,0.,0.,0.,"943,181.82",Cash,Test Legal Entity
CORE,Loan Tranche,BKDEBT,820002145,ACCHEA LOAN,Athletico Physical Therapy 1L Sr. Secd USD 0mm 02/15/29 04747LAM5,79.8335,79.8335,"5,609,005.61",0.,"722,462.417","722,462.417",0.,0.,"4,477,865.4937",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002114,PTON LOAN,Peloton Interactive 1L Sr. Secd USD 0mm 05/17/27,100.438,100.438,"52,953,325.13",0.,"491,228.7939","491,228.7939",0.,0.,"53,185,260.6941",Courtney Carson,
DEFAULT,Loan Tranche,BKDEBT,820002078,CGPHLC LOAN,Caesars Entertainment 1L Gtd Sr. Secd USD 0mm 07/20/25 12769LAD1,100.,100.,100.,0.,-900.,-900.,0.,0.,100.,Courtney Carson,Test Legal Entity
CORE,Loan Tranche,BKDEBT,820002182,VERCST LOAN,Vericast New TL SOFR+775 USD 06/16/26,87.5,87.5,"15,986,138.16",0.,"1,198,759.528","1,198,759.528",0.,0.,"13,987,870.89",Courtney Carson,JSCC Holdings LLC
CORE,Loan Tranche,BKDEBT,820002172,ZAYO LOAN,Zayo 1L Sr. Secd USD 0mm 03/09/27 98919XAB7,76.7465,76.7465,"50,000,000.",0.,"-2,566,750.","-2,566,750.",0.,0.,"38,373,250.",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002175,DBD LOAN,Diebold Nixdorf 1L Sr. Secd EUR 0mm 07/15/25 25365TAG7,34.,34.,"49,365,330.16",0.,"-3,364,864.317","-3,364,864.317",0.,0.,"18,304,861.8846",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002102,WHPGLO LOAN,WHP 1L Gtd Sr. Secd USD 0mm 02/09/27,98.375,98.375,"35,642,481.22",0.,"143,584.1168","143,584.1168",0.,0.,"35,063,290.9002",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002132,VERCST LOAN,Vericast 1L TL Gtd Sr Sec 2022 Ext SOFR+775 USD 06/16/26,88.458,88.458,"44,022,246.18",0.,"7,863,546.4395","7,863,546.4395",0.,0.,"38,941,198.5259",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002136,FNDR LOAN,Fender 1L Gtd Sr. Secd USD 0mm 12/01/28,97.,97.,"13,440,700.18",0.,"991,713.9754","991,713.9754",0.,0.,"13,037,479.1746",Courtney Carson,
DISTRESSED/NP_TG_SERIES_B,Loan Tranche,BKDEBT,820001954,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLSO 07/31/25 07783AAK1,13.2,13.2,"776,004.59",0.,"-315,116.4016","-315,116.4016",0.,0.,"102,432.6059",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP_TG_SERIES_B,Loan Tranche,BKDEBT,820001953,BLKIA LOAN,Belk 1L Sr. Secd USD 0mm FLFO 07/31/25 07783AAJ4,81.375,81.375,"1,265,092.22",0.,"-132,259.7595","-132,259.7595",0.,0.,"1,029,468.794",Courtney Carson,HPT Opportunity LP
DISTRESSED/NP,Loan Tranche,BKDEBT,820002116,MNK LOAN,Mallinckrodt 1L Sr. Secd 2017 Rep TL 09/30/27,77.7845,77.7845,"106,526,322.42",0.,"-12,162,505.8197","-12,162,505.8197",0.,0.,"82,860,967.2628",Courtney Carson,
DISTRESSED/NP,Loan Tranche,BKDEBT,820002117,MNK LOAN,Mallinckrodt 1L Sr. Secd 2018 Rep TL 09/30/27,77.575,77.575,"17,638,267.05",0.,"-1,262,676.7428","-1,262,676.7428",0.,0.,"13,682,885.664",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002138,SOUINP LOAN,Sound Physicians 1L Sr. Secd USD 0mm 06/28/25 46322EAB9,58.375,58.375,"10,631,591.02",0.,"-2,671,187.2438","-2,671,187.2438",0.,0.,"6,206,191.2579",Courtney Carson,
POST REORG,Loan Tranche,BKDEBT,820002018,HTZ LOAN,Hertz 1L Gtd Sr. Secd TL C USD 0mm 06/30/28 42804VBC4,,,"-203,137.28",0.,"202,629.4368","202,629.4368",0.,0.,0.,Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002128,DBD LOAN,Diebold SuperPriority TL USD SOFR +650 7/15/25,,,0.,0.,0.,0.,0.,0.,0.,Courtney Carson,
STRESSED CREDIT_CORE,Loan Tranche,BKDEBT,820002003,ADNT LOAN,Adient 1L Gtd Sr. Secd USD 0mm 05/06/24 00687MAB7,100.,100.,0.,0.,0.,0.,0.,0.,0.,Courtney Carson,
CORE_HPMF,Loan Tranche,BKDEBT,820002182,VERCST LOAN,Vericast New TL SOFR+775 USD 06/16/26,87.5,87.5,"32,802,443.61",0.,"2,459,771.1728","2,459,771.1728",0.,0.,"28,702,138.1588",Courtney Carson,Hein Park Lending Partners LP
CORE_HPLENDGP,Loan Tranche,BKDEBT,820002182,VERCST LOAN,Vericast New TL SOFR+775 USD 06/16/26,87.5,87.5,"61,062.08",0.,"4,578.888","4,578.888",0.,0.,"53,429.32",Courtney Carson,Hein Park Lending Partners LP
DEFAULT,Loan Tranche,ZZ-INTRN,820002018,HTZ LOAN,Hertz 1L Gtd Sr. Secd TL C USD 0mm 06/30/28 42804VBC4,,,"615,553.25",0.,"-615,553.25","-615,553.25",0.,0.,0.,Courtney Carson,
TEST123,Loan Tranche,ZZ-INTRN,820002018,HTZ LOAN,Hertz 1L Gtd Sr. Secd TL C USD 0mm 06/30/28 42804VBC4,,,"615,553.24",0.,"-615,553.24","-615,553.24",0.,0.,0.,Test Manager,Test Legal Entity
DEFAULT,Loan Tranche,ZZ-INTRN,820002078,CGPHLC LOAN,Caesars Entertainment 1L Gtd Sr. Secd USD 0mm 07/20/25 12769LAD1,100.,100.,"618,206.23",0.,0.,0.,0.,0.,"618,206.23",Courtney Carson,Hein Park Lending Partners LP
CORE,Loan Tranche,BKDEBT,820002179,DBD LOAN,Diebold Nixdorf 1L DIP Gtd Sr. Secd TL B2 10/02/23 25365TAJ1,97.607,97.607,"53,259,421.32",0.,"-1,274,497.9522","-1,274,497.9522",0.,0.,"51,984,923.3678",Courtney Carson,
CORE,Loan Tranche,BKDEBT,820002180,DBD LOAN,Diebold Nixdorf 1L DIP Gtd Sr. Secd TL B1 10/02/23 25365TAK8,97.607,97.607,"81,982,125.5",0.,"-1,961,832.2632","-1,961,832.2632",0.,0.,"80,020,293.2368",Courtney Carson,
FUNDING,Cash,BKDEBT,59,USD,US DOLLAR,1.,1.,"-677,547,694.94",0.,0.,0.,0.,0.,"-677,547,694.94",,
ZZZ_NONE,Cash,FRB,59,USD,US DOLLAR,1.,1.,"6,864,106.46",0.,0.,0.,0.,0.,"6,864,106.46",Courtney Carson,
FUNDING,Cash,MSCO,59,USD,US DOLLAR,1.,1.,"-169,258,550.39",0.,0.,0.,0.,0.,"-169,258,550.39",Courtney Carson,
